Complaint_Narrative,Product,Sector,Priority_Level,Urgency_Score
3rd class not order night dilevery partnar not develing otdar 3 rd class app,Zomato Food Delivery,Food & Beverage,Medium,6.0
Not Verified |  Never ever book through air India. I booked the ticket from Delhi to Goa on August 2021 and due to some circumstances I have cancelled my ticket before 15 days. But I tried to contact customer service to refund my ticket amount but till date it has not been refunded. I’m trying call them again and again to collect my refundable amount but they never bother about the customer service.,AirIndia,Aviation,High,9.0
"i personally would never recommend zomato because zomato is keen in avoiding any complaints on food delay, quality, packaging etc. I don't need they even have a customer service now except for a bot. Comparatively Swiggy atleast listens to the issue while zomato doesn't even care. FAST MONEY AND LOOT THE CUSTOMERS that's all. Serve cold food, delayed food, stale food zomato doesn't care",Zomato Food Delivery,Food & Beverage,Medium,7.0
Mera account minimum balance ke naam pe kaat rahe hain paise jabki maine maintain kiya hai. Chor bank!,IndusInd Bank Savings Account,Banking,High,9.0
"✅ Trip Verified |  When I enter the airport, Spicejet person asked me whether I am having a printed boarding pass or not. I said that I am having the printed boarding pass and it's in my mobile, then he asked me to go the luggage dropping counter. The staff who was on the desk checked the weight of the luggage and asked me to screen the luggage and drop it in luggage belt. I said it's only hand luggage so I asked him to allow to carry with me. I also told him that I have travelled from Mumbai with same Hand luggage before two days. But he rudely asked me put in the luggage as the weight of the luggage is 8kgs. I requested him as I am having a connecting flight to Bhubaneswar so plz allow as it is just 1kg above the limit. But his behaviour was not at all satisfactory. I am posting this at 1:30pm sitting at boarding gate. Boarding is scheduled at 12:55pm and Boarding is not started.",SpiceJet,Aviation,Medium,5.0
very bad experience plz don't use it. my peyment is done but order is not received. and costumer service doing nothing please don't use this app my request,Zomato Food Delivery,Food & Beverage,High,9.0
Response is not good at all. I had a problem with my order about packaging. My food was not edible. My money got wasted. I complained this matter to them and wanted my refund but they only showed me refund of 99 rupees while the price of my order was 410. It should be Zomato's responsibility if my food get spoiled and they should contact and solve the matter within themselves with full refund (Of the food which got wasted). Very disappointed with This apps response and solving issues.,Zomato Food Delivery,Food & Beverage,High,8.5
ACT Fibernet connection drops every hour. How am I supposed to work from home? Total time waste calling support.,ACT Fibernet,Tech & Telecommunications,High,9.0
"My new webcam bought online has terrible picture quality, completely blurry. Seller refusing return. This is pathetic!",Online Webcam Purchase,Tech & Telecommunications,Medium,7.0
"AVOID Zomato AT ALL COSTS! Received UNCOOKED FOOD! Worst service ever! Despite complaints, no resolution or refund (₹481.75 pending). If you don't believe me now, just wait – you'll suffer one day and then you'll understand. Until then, I'm warning you: don't waste your money or time on Zomato. #UncookedFood #WorstService #AvoidZomato",Zomato Food Delivery,Food & Beverage,High,9.5
I haven't received my new debit card after applying a month ago. Where is it?,HDFC Debit Card,Banking,High,8.0
"Not Verified | Worst experience ever with Air India, old seats, system does not work properly, flight was delayed almost 5-6 hours because of air conditioning issues.",AirIndia,Aviation,High,8.5
Netflix keeps buffering even on high-speed internet. Paisa le rahe ho toh service toh do! What a waste of subscription.,Netflix India,Tech & Telecommunications,Medium,6.0
"✅ Verified Review |  Bangalore to Mumbai. Indigo's late night flights are always late. This is my third experience with same flight - flight is delayed by 1hr 10mins, last time when I travelled a month before then it was delayed by 2 hours this is really horrible. Generally this flight is taken by one who attends office whole day and then come for flight and you face this issue again and again. Indigo will lose it's reputation if they continue to do so.",IndiGo,Aviation,High,8.0
"My Dell laptop overheating constantly, even after getting it serviced. This is a manufacturing defect, and your support is useless.",Dell Laptop,Tech & Telecommunications,High,9.0
"✅ Trip Verified |   Late flight. Extremely poor customer management. Initially staff was not responding for 1 hr. Later, hopeless response by staff. Extremely disappointing experience.",SpiceJet,Aviation,High,8.0
✅ Trip Verified |  Delhi to Jaipur. My flight was rescheduled without information and staff was rude. I was a regular traveller but this incident ruined my day and no initiative by the staff to satisfy the customer. I had an important meeting which was missed. Would never travel with indigo again,IndiGo,Aviation,High,9.0
"Lenskart se chashma banwaya, power galat laga di. Sar dard hota rehta hai. Yeh toh mere aankhon ka khel hai!",Lenskart Eyewear,Retail,High,9.5
"✅ Trip Verified |  I booked this flight for my parents. But due to unknown reasons, Air India Express cancelled flight just before boarding. Nobody gave any answers regarding that. Even Airport personnel were not helpful. Because of this I had to cancel the return flight and I have not received refund yet.",Air India Express,Aviation,High,9.0
Airtel postpaid plan automatically renewed without my consent and I'm stuck for another year. This is unethical!,Airtel Postpaid Renewal,Tech & Telecommunications,High,8.5
"Forex card exchange rate was terrible, and they charged hidden fees. Pura scam hai!",Axis Bank Forex Card,Banking,High,9.0
"Not Verified |  Pune to Ahmadabad. Very poor support. The flight got delayed by almost 5 hours. During the time of delay, no customer service provided by airline. The reason for delay is also unexplained. Approach towards customer satisfaction is at level zero. The AC duct was also damaged in the cabin, we cannot adjust the temperature.",SpiceJet,Aviation,High,8.5
Not Verified |  The only thing decent about this airline experience was the customer support. The flight was cancelled two days after booking. The support staff was easy to reach and provided the necessary information promptly.,Go First,Aviation,Medium,6.0
"Not Verified |  Mumbai to Kanpur. I must say it was my worst journey ever. When I booked my flight the time was 10.45 am and after a week they messages saying that it will be taking off at 1.45 pm. The flight took off after 2.30pm, I dont understand why they don't value time. I must suggest please don't book with SpiceJet. Also for luggage, at the time of booking they dont indicate that you can't take cabin luggage and the day before the flight they circulated a message that no cabin luggage was allowable. If there was an option to give a minus star I would.",SpiceJet,Aviation,High,9.0
"✅ Trip Verified |  Dubai to Mumbai. Spicejet has weight restrictions. They will get you at the gate If your hand luggage goes above the allocated amount They will pick you out especially if you have duty free bags and charge you for the extra weight. Why are you not told this at check in. All travelers be aware, make sure your carry on does not Exceed the amount allowed, Including your duty free purchase. They charge per kilogram. Spicejet got me this time, but I will not spend another dollar with them again.",SpiceJet,Aviation,High,8.0
"Bought an expensive watch from a Titan showroom, it stopped working in a month. They are refusing warranty claiming physical damage. Bakwas.",Titan Watch,Retail,High,8.5
The detergent I bought from a kirana store was clearly adulterated. Cheating customers openly!,Kirana Store Detergent,Retail,Medium,6.5
"✅ Trip Verified |  My son who is a minor was booked on a non-stop flight Dubai to Bengaluru. Suddenly I receive this message saying flight is re-scheduled Dubai-Delhi-Bengaluru, where he needs to waste 12 hours of precious time at Delhi airport to take the Bengaluru flight and now I get another message saying he has to fly Dubai-Delhi-Cochin-Bengaluru. Is this airline out of their minds? Especially during Covid time instead of operating direct flights re-scheduling via via. What nonsense is this I do not understand. Never take this flights.",AirIndia,Aviation,High,9.5
✅ Trip Verified |  Coimbatore to Delhi. First of all thank you for such a caring staff. My daughter met with an accident and her left arm was affected.  She was carrying extension rod attached to her arm. We were having three tickets but of different nos. Air hostess took proper care for arranging front seats for us. She helped her relax throughout the journey.,IndiGo,Aviation,Low,1.0
✅ Trip Verified | SpiceJet flights are always late and passengers have to suffer to delays. Each time delay happens from Patna. The delay exceeds up to 8 Hrs. Very bad response from SpiceJet.,SpiceJet,Aviation,High,8.0
Not Verified | We at 6.45 am are still waiting for the cabin crew to arrive for the flight which was supposed to board by 5.10 am. The cabin crew not arrived yet. This has caused a suffering to so many passengers. All of us are stuck because of the captain and his crew members. Can the Air India never improve?,AirIndia,Aviation,High,8.8
"Mere account se unauthorized transaction hua hai, aur bank bol raha hai responsibility meri hai. Fraud ho raha hai aur ye log kuch nahi karte!",Union Bank Savings Account,Banking,High,10.0
This is not the right place to order food.,Zomato Food Delivery,Food & Beverage,Low,2.0
Not Verified | I had booked a flight from New Delhi to Shirdi travel date 17-June-23 and had accordingly booked my hotel and other itineraries. The booking was done way in advance to make sure everything is in order. Now 2 days back I received an SMS from SpiceJet that the flight has been cancelled and there is no alternative flight available. I spoke to SpiceJet agent and requested them to arrange a flight for me on another carrier which is Indigo on which I was told that I need to write to higher authorities. This is plainly making a fool out of the customer as now the only direct flight which is available is Indigo and is more than double the price I paid for SpiceJet flight booked in advance. SpiceJet always does this with their customers. If they are unable to operate they should shut down operations but shouldn’t cheat the customers. I had to pay INR 12000 extra for the alternate flight to reach Shirdi.,SpiceJet,Aviation,High,9.0
Not Verified |  It's a third class flight. On entertainment system is not working to whole fight and not started also they only said we restarting our system. On whole journey it's not working. Seats are rubbish. Food also not good. They have to work on their maintenance. I give zero star.,AirIndia,Aviation,Medium,4.5
very bad experience,Zomato Food Delivery,Food & Beverage,Low,2.0
very bad they charge more money than actual food price and they will not allow you cancel order if you ordered accidentally worst app,Zomato Food Delivery,Food & Beverage,Medium,5.5
"Very very very worst app Worst support experience ever. I clearly told them multiple times that my order was placed by mistake and I won’t be able to eat it at all, but they kept copying the same scripted replies without giving any real solution. Instead of helping the customer, they were more interested in pushing the delivery even after knowing it would go straight to waste. Absolutely zero flexibility, zero understanding, and no effort to resolve the issue. One of the most disappointing .",Zomato Food Delivery,Food & Beverage,Medium,6.0
From few days I am receiving wrong deliveries Unsatisfied with orders looting the money from customers uninstalling the app from today. no one responds even if we complains also.,Zomato Food Delivery,Food & Beverage,Medium,7.0
"✅ Trip Verified |  Kanpur to Delhi. Worst flight experience ever. The ground staff was very non cooperative, the handbag was asked to be put in checkin to earn money. The low carrier airline tag is just a ruse to fetch money from people by charging them with things like your baggage is 57cm and not 55cm - airbag with wheels is not allowed. With 2 tickets our checkin baggage was within the limit but because they added our hand baggage to Our checkin we were asked to pay extra- and they charge a hefty amount of 400Rs per kg. The rest of the Journey was made worse by the under construction Kanpur airport, they have limited staff and faulty equipment which makes the passenger experience a terrible ordeal.",SpiceJet,Aviation,High,8.5
Too pricey they give you flat 100 off but they over charge in other services it is a scam initially we only get 10 or 20 off where they say 100 off im saying this because the overcharging happens only when they give offers live flat 100 or 50% off but not a true offer just eye-catching recently i brought a food from restaurant just a kilometre away from me costed 200 but from same restaurant in zomato i checked it cost 350 after additional it came 425 just pure scam,Zomato Food Delivery,Food & Beverage,High,9.0
recently I order pizza with extra tomato ketchup I received pizza but my extra tomato ketchup is missing in my order. I mail zomato but zomato assistant not helped also. the extra tomato ketchup amount is 36 rs.,Zomato Food Delivery,Food & Beverage,Low,3.0
"Branch manager was extremely unhelpful, ignored my query. Pura din barbaad kar diya.",Union Bank of India Branch Service,Banking,Low,4.0
Never takes Feed back as Real Waste of giving feedback,Zomato Food Delivery,Food & Beverage,Low,2.5
Savings account mein minimum balance maintain na karne par ₹500 ka penalty laga diya. Ek bar bhi SMS nahi bheja alert ke liye.,PNB Savings Account,Banking,High,8.0
"Prestige ka pressure cooker liya tha, handle toot gaya pehle use mein hi. Safety hazard hai yeh!",Prestige Cookware,Retail,High,9.0
"Not Verified |  Mumbai to Chennai. Pathetic and the worst service ever. In the afternoon we get a message saying that the Flight is going to be delayed by 4 hours, and when reaching the Airport we are informed that there is another hour of delay added, When asked they say some technical issues. Even mailing the customer care or the service team doesn't get any proper response and they just keep apologizing and with no efforts to correct or ensure correctness, all that matters to them is the Money and only money.",SpiceJet,Aviation,High,8.0
"✅ Trip Verified |  We lost our checked-in baggage travelling from Delhi to Bangkok. On losing my baggage: 1. I found out that there is no representative from Spicejet on Bangkok Airport to report the issue. 2. On my own after running around, I found out the baggage handling partner. 3. I coordinated on my own with that partner with difficulty, as the employees are not well versed in basic English. 4. I registered complaint with them in writing, after running from pillar to post taking over an hour. 5. In the process I missed my pre-booked transportation to Pattaya (where I was travelling) and had to take a cab on-the-spot. I received my baggage afterwards coordinating with them. Spicejet remained clueless, if I received my bag or not. I was travelling with my wife and 3 yr old kid. The airline refused to compensate me for the baggage loss and the mental trauma. Never travel in this low-cost budget airline, which does not provide any care and service.",SpiceJet,Aviation,High,10.0
"Croma se TV liya, installation wale ne itna ganda kaam kiya, screen pe scratch maar diya. Unprofessional!",Croma TV Installation,Retail,High,8.5
My PPF account passbook update mein galti hai. Bank employees are careless with my savings!,PNB PPF Account,Banking,High,9.0
"✅ Trip Verified |  I reached Mumbai airport and I was waiting for my luggage as usual but after waiting for like 30-45 minutes I went to counter to inform about my luggage than they told me that my luggage never reached Mumbai and now I have to fill up a form in order get my luggage delivered at my home. They claimed that my luggage will be delivered to my place by next day but of course it didn't, I tried calling on no that they provide while filling up that form but no one picked up the call in 3 days, when I went back to the airport office counter they said your baggage is still in Dubai. When I called Dubai branch they told me its in Mumbai, so no one is actually taking the responsibility, after 5 long hours of wait in the airport I lost my temper and as soon as I started to shout one SpiceJet staff approached me and said ""Sir your luggage is here but as there are too many of them from other passengers as well its hard to find"". After this I started to shout and there were a lot of passenger's who were there for the exact same reason joined me when they saw this happening they called me and said my luggage is found in the warehouse and will be here by any moment, and after 10-15 minutes my luggage arrived and I couldn't even recognize my bag as it was completely trashed.",SpiceJet,Aviation,High,10.0
"Reach support bohot time lgate h issue kr uper ,or rate bhi bohot Kam kr diye h or na incentive acha mil rha h , zomato me job krne ka mera anubhav bohot buraa rha 👎👎👎😞",Zomato Food Delivery,Food & Beverage,Medium,6.0
Bank statement mein incorrect entries hain. Call kiya toh bol rahe hain 'system glitch'. My money is not a glitch!,ICICI Bank Statement,Banking,High,9.0
"✅ Trip Verified |  Raipur to Kolkata. I know Indigo is a low cost carrier but the only good thing is ""On-time Performance"". Their cabin crew were reluctant to provide a full glass of water. I do not have any options to select seats during checking using kiosk and was randomly assigned a middle seat of last row. The leg space was too small for me.",IndiGo,Aviation,Medium,5.0
Doorstep banking service mein agent aaya hi nahi. Time waste ho gaya mera. Ye kya service hai?,IDBI Bank Doorstep Banking,Banking,Medium,6.5
"Ordered a sofa from Pepperfry, it's been two months, still no delivery. Sirf promises karte hain. Useless!",Pepperfry Sofa,Retail,Medium,7.5
"UPI transaction failed, paise kat gaye but merchant ko nahi mile. Ghatiya bank hai yeh! Refund my money ASAP!",HDFC Bank UPI,Banking,High,9.5
"Nykaa se makeup order kiya, item toh expiry date ke paas wala bheja. Bakwas! Who sends near expiry products?",Nykaa Makeup,Retail,Medium,8.0
"Not Verified |  I had connecting flight of air India from Amritsar to Delhi, from Delhi i had international flight to Vancouver. Air India was delayed by 2 hours. Then they said flight is delayed by another 3 hours. Later they said flight is cancelled, there was no bad weather or any adverse conditions. Because of them my connecting flight got missed. I was traveling with my wife, 2 years old girl and 1 year boy. Whole night we had to spend on airport. No accommodation, food, or refund provided. Had to purchase 4 new tickets. Staff at Delhi airport was so rude. We were crying over there with kids, never felt that helpless in my life. It was a nightmare.",AirIndia,Aviation,High,10.0
you don't have an opportunity to review the hotel. whats the point of this. just plain cheating the customer and the hotel owners. 0 star for your cheap mentality.,Zomato Food Delivery,Food & Beverage,Low,3.0
"Mera ₹1000 ka cashback offer tha credit card pe, woh credited nahi hua. Jab call kiya toh bolte 'offer valid nahi tha'. Dhokha!",RBL Bank Credit Card Cashback,Banking,Medium,7.0
worst customer care service,Zomato Food Delivery,Food & Beverage,Low,2.0
too much bad delivery services and too much bad customer support. they are not interested in customers they are only interested in making money from customers. they will not give you any refund or coupon code for their own mistake. they will make you a fool. fool for what fool for ordering from them and for making them money and for waste your money. if you want to waste your time time means too much time and money then you can order from this platform.,Zomato Food Delivery,Food & Beverage,Medium,6.5
"Not Verified | It was a bad letdown on 6E 202 from Nagpur to Pune - The seats were tattered and stained - The seat pockets were torn - There was litter in odd places - The bathrooms were dirty and stinking - The value of ₹400 was not met and instead of Chicken Noodles, I got Poha - The staff never gave me water despite asking twice.",IndiGo,Aviation,Medium,7.0
✅ Trip Verified | I booked my vacation tickets for my family from Abu Dhabi to Calicut unfortunately due to Covid-19 I cancelled my traveling but did not get a full refund. It was disappointed that l lost 75% of my cash. It was refundable ticket but I don't know why they are utilizing this situation. It's not acceptable. It's very poor service.,IndiGo,Aviation,High,9.0
The offers are useless. The delivery time provided is rigged. Interface has improved.,Zomato Food Delivery,Food & Beverage,Medium,4.0
"✅ Trip Verified |   Our bags were delayed by 2+ weeks, leaving us with no belongings for the entire length of our break. Over 10 hours were spent daily on the phone, with €600+ spent on replacement clothes/items. Air India offered only US$100 compensation citing a policy they do not share publicly, despite legal obligations to cover ""reasonable"" costs.",AirIndia,Aviation,High,10.0
Zomato doesn't even deserve one star but there was no option. the reason for one star is because I didn't get my refund till now .the money was deducted from my account but the order was not placed that's why I asked for refund but they disagree I also sent them my transaction details but also no response. after that I ordered whole new order which got place but guess what's happens I got different order . i immediately reported to them but they said it was resturant mistake they can't do anythi,Zomato Food Delivery,Food & Beverage,High,9.0
"Local kirana store se samaan liya, bill manga toh mana kar diya. Tax evasion kar rahe hain saale.",Kirana Store Billing,Retail,Low,3.0
"I had a really disappointing experience with Zomato. I ordered a pizza and a Pepsi bottle, but the delivery person didn’t give me the Pepsi. Later, the entire order was cancelled, and I ended up with no food, no drink, and no refund. I contacted support, but there was no proper resolution. It’s really frustrating to lose both money and time like this. I hope Zomato improves their customer support and refund process — customers shouldn’t have to chase for refunds for undelivered items.",Zomato Food Delivery,Food & Beverage,High,8.5
"Not Verified |  Worst experience I ever had on an airline. No system of web check-in, its forcefully asking for additional charges. Inflight no attention paid to provide a water at least? I had corporate meal booking however none asked for the same. I wish to never travel with Go First in the future.",Go First,Aviation,Medium,6.0
"Apple store se headphones liye the, ek side se awaz nahi aa rahi. Service center mein 10 din se pade hain. Itna wait kaun karega?",Apple Store Audio,Retail,Medium,7.0
Fraudulent SMS link ke through mera account khaali ho gaya. Bank says I clicked it. No responsibility!,PNB Security,Banking,High,10.0
"worst service. customer service representative... what is it. Zomato know nothing about customer service. they side with delivery partner even when there is proof of non delivery of pre paid order. on insistence, they initiated refund. but what about the lost time and non delivery of food after waiting all the duration from ordering to non delivery?",Zomato Food Delivery,Food & Beverage,High,8.0
✅ Trip Verified | Useless airline. DO NOT fly this airline though their airfares are cheap. It is better to catch a train one day prior instead of flying this airline. In the last 3 months I flew this airline 5 times and in all instances it was delayed by more than 4 hours. No professionalism!!,Go First,Aviation,High,9.0
✅ Trip Verified | The airline seats are absolutely atrocious. The seat fabric is filthy so much so that I didn't want to sit on it. But when I did I realised the seat backs are just flat cardboard and wood. Far worse than the seats on Chennai's local buses. I was really shocked and disgusted and won't ever fly Air India again.,AirIndia,Aviation,Medium,6.0
Found a live worm in the atta packet from D-Mart. Pure health hazard! Ghatiya hygiene standards.,D-Mart Groceries,Retail,High,9.5
"Not Verified |  My experience from Bangkok to Bangalore, was quite disappointing. They no longer provide fragile stickers, which is concerning for passengers with fragile items in their luggage. Additionally, considering it's an international flight, the basic fare does not include any complimentary meals or drinks. Even water is not provided unless specifically requested. The in-flight services are also overpriced, with a simple dish like poha costing over 300 rupees. Furthermore, there are no pillows or blankets provided, making the presence of five or six cabin crew members seem unnecessary if they are not providing any services. If you are traveling to Thailand suggest you take Thai airways much better services comfortable and better price too.",IndiGo,Aviation,Low,4.0
"✅ Trip Verified |  After about 2 hours of the flight, my wife was very nauseous and as she stood up to go to the wash she fell unconscious and following that she feel unconscious another 2 times with in the next 15 minutes. We later found out that this is a common this in Air India flights due to an issue with cabin pressure. We saw it happening to another passenger on the was back to Dubai.  I will never fly Air India again.",AirIndia,Aviation,High,10.0
"✅ Trip Verified |  Patna to Hyderabad. I traveled 3 times in this same plane in just 2 months, and in last one week unfortunately I have to traveled 2 times and with same plane. Some staff are so careless. I asked for a glass of water before take-off and didn't get after take-off, and it takes 50 minutes when i asked again to a cabin crew. Spicejet is not comfortable, seats need to be repaired coz it's not good for travel, washroom was in not good condition.",SpiceJet,Aviation,Medium,6.0
"there is no point of whether you have gold membership or not, zomato won't care about it. I have been a gold customer from last 1 year. many times they delay a lot and in the end they cancel the order. when we complaint, they just refund. what about our time and other things. Can't trust zomato, whether they deliver or not. it's always a hit and miss.",Zomato Food Delivery,Food & Beverage,Medium,7.0
"very slow delivery, taking 1 hour to deliver food just 5 km far away, after 10pm, very less traffic with absolutely fine weather",Zomato Food Delivery,Food & Beverage,Medium,5.0
whyy the packing charges so high and do not say it's the restaurant that decides,Zomato Food Delivery,Food & Beverage,Low,3.0
"✅ Trip Verified |  This is kind of a local bus service, which is flying. Changing the time of departure as per their needs and convenience. Just like a local bus service, we will not fly until all the seats are occupied. Third class service. Regretting my own decision by choosing Go First for my upcoming trip.",Go First,Aviation,High,8.5
"✅ Verified Review |  
Flew IndiGo from Jaipur to Kolkata. Take off and landing was smooth. Departure and arrival was on time. Seats were comfortable. Check-in was done smoothly. While boarding the aircraft the cabin crew welcomed us but not with their smiling faces. When I saw the air hostess serving water I asked for a glass of water, she didn't give me one but instead carried on serving water to other passengers even though I had asked before anyone else. On asking again twice, she replied twice ""I'll come back"". After that, I was given glass of water.",IndiGo,Aviation,Low,3.5
"✅ Trip Verified | SpiceJet is the worst airline in the world. My last 5 SpiceJet experiences. 1 flight cancellation, 1 airport change, 3 flights depart delayed twice to thrice. SpiceJet interior experience is the worst, their on-ground services are pathetic. Their customer service is unresponsive. Their timeliness is the worst. Please avoid this worst service provider if possible.",SpiceJet,Aviation,High,9.0
very poor service & support. they need an extra 30 minutes to deliver food & same always shows time even after 15 minutes. even after complaining they do nothing. you have fraudest service in bharuch it takes 1 to 2 hrs. after ordering food nd you don't show exect Time I always face poor service from Zomato even after complaint no action.,Zomato Food Delivery,Food & Beverage,Medium,6.5
"Not Verified |  What a pathetic airline. The flight is delayed and yet, they are checking in passengers, not even informing them about the delay. I mean who does that? How can you not update your passengers regarding the flight status? That's the bare minimum you need to do. Secondly, what sort of a money-making business are you in? Can't provide a wheelchair for free to an elderly passenger who really needs it? This is seriously shoddy stuff. Paying AED 110 for wheelchair assistance? I am writing this review in plain disgust. Never flying again with you.",Air India Express,Aviation,High,8.5
pathetic service,Zomato Food Delivery,Food & Beverage,Low,2.0
"Meesho se bedsheet order ki, color aur design bilkul alag hai jo dikhaya tha. Total fraud.",Meesho Bedsheet,Retail,Medium,6.0
Not Verified | Jaipur to Varanasi. Consistent airline - always a delay! I have an experience of delay in all trips while travelling with Spicejet. It takes something to be so consistent in wasting the passengers time. The ground staff is arrogant while addressing the issue. They are obviously obliging you by providing you the airlines although the flight attendants are courteous. Need to learn to be punctual and timely intimating the passengers about the delay.,SpiceJet,Aviation,High,8.0
✅ Trip Verified |  This airline either cancels the flight or it gets delayed. They never value their customer. This is always a problem with Go First. Never recommend to travel with this airline. They reschedule multiple times for a single flight as experienced on 15 October 2022,Go First,Aviation,High,9.5
✅ Trip Verified |  Flight has been delayed up to 1.20 hrs. Being a passenger delay is understandable or adjustable upto 10-15 mins in the worst scenario 30 mins but 1.2 hrs is too late. Spicejet must value its customer's time.,SpiceJet,Aviation,Medium,6.0
"✅ Verified Review | I have been having consistent horrible experiences with Indigo regarding delays. I was travelling from Cochin to Bangalore - the flight was supposed to depart at 8.45 pm and it departed the next morning at 2.05 am. A week later, I was returning from Trivandrum to Bangalore - the flight was supposed to depart at 8.15 pm and it departed the next morning at 12.05 am. Today, my wife was supposed to travel to Chennai from Bangalore. The departure time is 7.20 am, the revised departure is at 9:15 am. Indigo used to be consistently punctual. When I speak to the staff, I hear that the fleet is overbooked and you are trying to optimize. I will look at Indigo only as a last option.",IndiGo,Aviation,High,9.0
"Not Verified |   I had a 13 hrs long flight from Toronto Pearson airport to Delhi but, the flight was very unpleasant and uncomfortable. The screen did not work at all and it got stuck up and didn’t move back on its original position. I with other fellow passengers had to sit idle without any entertainment The staff did not help me despite me telling them about it time and again. A co-passenger ended up helping me to re-adjusting it. Moreover, the meal tray was extremely dirty with tea stains and what not. Despite asking for a wet towel to clean it they handed me a dry tissue paper. Once landed, having a connecting flight to Amritsar, I received my luggage at the end and ended up in a neck to neck situation where i almost missed my flight. Moreover, one of the ground staff ended up taking $50 from me to get my baggage clearance at the end. I ended up at the gate on the last boarding call. I was really disappointed from the entire experience and a bit tensed now as i had already booked a round trip flight. I hope i get some refund out of what i paid to book my seat from Air India.",AirIndia,Aviation,High,9.5
✅ Trip Verified |  Airport staff is not trained well. Everyone was giving me the different information. Do not know what is the next step. Taking hours for work should be done within minutes. Took double the amount of fee for one baggage. Trying to contact customer service and agents are saying they cannot do anything and I should speak to Delhi airport wow is that even possible. What are they working for?,AirIndia,Aviation,High,7.5
"I ordered 25th night at 9 'O' clock but the order still didn't arrive at 11 'O' clock. So I reported it to customer care, But the money has not been refunded till today. what is the problem ? This is a very big issue that I think should be taken seriously. don't order on Zomato. this is a very big fraud 😡😡",Zomato Food Delivery,Food & Beverage,High,8.0
✅ Trip Verified |  It was a early morning flight and I was unable to do web checkin. I approach to the AirAsia desk and staff was totally unprofessional. She just ignored and start attending the other customers. After waiting for a while she just walked out from the window. I will never recommend AirAsia India. Horrible ground staff.,AirAsia India,Aviation,Medium,6.0
Rate very high,Zomato Food Delivery,Food & Beverage,Low,2.0
"Net banking chal nahi raha, OTP nahi aa raha. Urgent payment karna hai. Poora din barbaad kar diya.",Axis Bank Net Banking,Banking,High,9.0
"✅ Trip Verified |  First of all go first flight was the only flight which was delayed. Secondly as I usually fly this time the experience was really bad, the cabin crew were very rude. I was sitting on the wing so that's fine that I needed to keep my luggage up but the way the female cabin crew asked to keep was very rude. I mean we all have some reputation if we are flying that doesn't mean that cabin crew have the right to shout on us. They are been trained to manage every problem politely but nowadays cabin crew are becoming very rude",Go First,Aviation,Medium,5.5
"HDFC customer care service is not good  because I  had a deal with the branch for more than 5 times for a single issue. This was my salary account at earlier and it was converted into savings account later. I need to maintain a minimum balance of Rs. 10,000. I can withdraw up to Rs. 25,000 in a day. I get the notification immediately whenever I do the transaction.",HDFC Bank,Banking,Low,4.0
Not Verified |  They closed gates 30 mins prior to departure without any notification and staff is so rude and misbehaving. They leave us on airport and take extra charges for next flight.,IndiGo,Aviation,High,9.5
Mobile banking app mein OTP nahi aa raha. Login nahi kar pa raha hu. Jab urgent payment karni hoti hai tabhi ye sab hota hai.,Kotak Mahindra Bank Mobile App,Banking,High,9.0
✅ Trip Verified |  My wife's with my Infant flight was delayed 5 hrs from the actual arrival time so the domestic connecting flight missed and next flight after 10 Hrs at the airport. No food and no proper accommodation provided because of their mismanagement and my wife had to sit the whole night with luggage and our 8-month child at the Delhi airport. Complaint on the airline's website but after 1.5 months also no acknowledgment of their mistakes nor a simple reply back.,AirIndia,Aviation,High,10.0
"Mobile app is slow, buggy, and constantly logs me out. It's a pain to use!",IndusInd Bank Mobile App,Banking,Medium,5.0
Paytm Payments Bank mein account blocked because of some KYC issue. Meri salary aani hai! Yeh kya mazak hai?,Paytm Payments Bank,Banking,High,9.5
service is disgusting.... Did not have refund for bad quality food. Closed the chat inappropriately,Zomato Food Delivery,Food & Beverage,Medium,6.0
the worst application and worst customer care I have ever seen. I tried to reach out the customer support and white chatting with their agent without giving me a solution their closing the chat. I have waited for 2 hours to customer support and the agent Nohit said hi and then didn't even respond to query and waited me 30 min and without notification closed the chat . Post which Mohit joined the chat and closed the chat without proper notification then sheeban joined the chat and closed it .,Zomato Food Delivery,Food & Beverage,Medium,5.5
"✅ Trip Verified |  Bengaluru to Jaipur. I had done web check in and had my boarding pass as pdf in my phone as I couldn't get a print out. Upon reaching the airport I was not allowed to print the boarding pass, they didn't have to give the boarding pass, just print the pdf that I had. The worst part is if they had not wasted my time in queues when I had already mentioned I was in a hurry, I could have gone outside and gotten a printout. I missed my flight just because I didn't have a printout of my boarding pass, even though I had the pdf. There has to be some understanding, they should guide us properly.",IndiGo,Aviation,High,8.5
"✅ Trip Verified |  They cancelled flight last year in April 2020 due to lockdown, since then we are chasing for your refund and till date I am sending emails, writing them on twitter but their services are so pathetic, they have no system or SOPs to handle issues related to refund. If you check their Twitter Account everyday people are asking for refund but they give pre scripted typical answers to everyone. There is a scam it seems, many customers have given up, their hard earned money been eaten up by Air India.",AirIndia,Aviation,High,9.0
Went from Delhi to Kochi because there is no such thing as a direct Delhi to Male (Maldives) flight and even with connections you have to mix and match airlines in order to get a halfway decent connection schedule. The airline is like the low budget carriers in Europe with people packed in like sardines. They don't have an inflight magazine that actually has anything to read or even a map with their air routes.,IndiGo,Aviation,Low,3.0
